Series Name,Series Code,Country Name,Country Code,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Change
"Population, total",SP.POP.TOTL,Burundi,BDI,10149577,10494913,10727148,10903327,11155593,11493472,11874838,12220227,12551213,12889576,2739999
"Population, total",SP.POP.TOTL,Cabo Verde,CPV,539940,546076,552166,558394,564954,571202,577030,582640,587925,593149,53209
"Population, total",SP.POP.TOTL,Cambodia,KHM,14999683,15210817,15417523,15624584,15830689,16025238,16207746,16396860,16589023,16767842,1768159
"Population, total",SP.POP.TOTL,Cameroon,CMR,21632850,22299585,23012646,23711630,24393181,25076747,25782341,26491087,27198628,27914536,6281686
"Population, total",SP.POP.TOTL,Canada,CAN,35082954,35437435,35702908,36109487,36545236,37065084,37601230,38007166,38226498,38929902,3846948
"Population, total",SP.POP.TOTL,Cayman Islands,CYM,58212,59559,60911,62255,63581,64884,66134,67311,68136,68706,10494
"Population, total",SP.POP.TOTL,Central African Republic,CAF,4802428,4798734,4819333,4904177,4996741,5094780,5209324,5343020,5457154,5579144,776716
"Population, total",SP.POP.TOTL,Chad,TCD,13216766,13697126,14140274,14592585,15085884,15604210,16126866,16644701,17179740,17723315,4506549
"Population, total",SP.POP.TOTL,Channel Islands,CHI,159794,160912,162190,163721,165215,167259,169410,171113,172683,174079,14285
"Population, total",SP.POP.TOTL,Chile,CHL,17509925,17687108,17870124,18083879,18368577,18701450,19039485,19300315,19493184,19603733,2093808
"Population, total",SP.POP.TOTL,China,CHN,1363240000,1371860000,1379860000,1387790000,1396215000,1402760000,1407745000,1411100000,1412360000,1412175000,48935000
"Population, total",SP.POP.TOTL,Colombia,COL,46237930,46677947,47119728,47625955,48351671,49276961,50187406,50930662,51516562,51874024,5636094
"Population, total",SP.POP.TOTL,Comoros,COM,699393,714612,730216,746232,761664,776313,790986,806166,821625,836774,137381
"Population, total",SP.POP.TOTL,"Congo, Dem. Rep.",COD,73460021,76035588,78656904,81430977,84283273,87087355,89906890,92853164,95894118,99010212,25550191
"Population, total",SP.POP.TOTL,"Congo, Rep.",COG,4828066,4944861,5064386,5186824,5312340,5441062,5570733,5702174,5835806,5970424,1142358
"Population, total",SP.POP.TOTL,Costa Rica,CRI,4791535,4844288,4895242,4945205,4993842,5040734,5084532,5123105,5153957,5180829,389294
"Population, total",SP.POP.TOTL,Cote d'Ivoire,CIV,22469268,22995555,23596741,24213622,24848016,25493988,26147551,26811790,27478249,28160542,5691274
"Population, total",SP.POP.TOTL,Croatia,HRV,4255689,4238389,4203604,4174349,4124531,4087843,4065253,4047680,3879000,3855600,-400089
"Population, total",SP.POP.TOTL,Cuba,CUB,11321579,11332026,11339894,11342012,11336405,11328244,11316697,11300698,11256372,11212191,-109388
"Population, total",SP.POP.TOTL,Curacao,CUW,153822,155909,157980,159664,160175,159336,157441,154947,152369,149996,-3826
"Population, total",SP.POP.TOTL,Cyprus,CYP,1166968,1176995,1187280,1197881,1208523,1218831,1228836,1237537,1244188,1251488,84520
"Population, total",SP.POP.TOTL,Czechia,CZE,10514272,10525347,10546059,10566332,10594438,10629928,10671870,10697858,10505772,10672118,157846
"Population, total",SP.POP.TOTL,Denmark,DNK,5614932,5643475,5683483,5728010,5764980,5793636,5814422,5831404,5856733,5903037,288105
"Population, total",SP.POP.TOTL,Djibouti,DJI,971753,989087,1006259,1023261,1040233,1057198,1073994,1090156,1105557,1120849,149096
"Population, total",SP.POP.TOTL,Dominica,DMA,68819,69371,70007,70075,70403,70823,71428,71995,72412,72737,3918
"Population, total",SP.POP.TOTL,Dominican Republic,DOM,10157051,10282115,10405832,10527592,10647244,10765531,10881882,10999664,11117873,11228821,1071770
"Population, total",SP.POP.TOTL,Ecuador,ECU,15722989,15957994,16195902,16439585,16696944,17015672,17343740,17588595,17797737,18001000,2278011
"Population, total",SP.POP.TOTL,"Egypt, Arab Rep.",EGY,93377890,95592324,97723799,99784030,101789386,103740765,105618671,107465134,109262178,110990103,17612213
"Population, total",SP.POP.TOTL,El Salvador,SLV,6185642,6209526,6231066,6250510,6266654,6276342,6280217,6292731,6314167,6336392,150750
"Population, total",SP.POP.TOTL,Equatorial Guinea,GNQ,1243941,1295183,1346973,1398927,1450694,1502091,1553031,1596049,1634466,1674908,430967
"Population, total",SP.POP.TOTL,Eritrea,ERI,3296367,3323425,3340006,3365287,3396933,3445374,3498818,3555868,3620312,3684032,387665
"Population, total",SP.POP.TOTL,Estonia,EST,1317997,1314545,1315407,1315790,1317384,1321977,1326898,1329522,1330932,1348840,30843
"Population, total",SP.POP.TOTL,Eswatini,SWZ,1118319,1125865,1133936,1142524,1151390,1160428,1169613,1180655,1192271,1201670,83351
"Population, total",SP.POP.TOTL,Ethiopia,ETH,97084366,99746766,102471895,105293228,108197950,111129438,114120594,117190911,120283026,123379924,26295558
"Population, total",SP.POP.TOTL,Faroe Islands,FRO,48418,48465,48816,49500,50230,50955,51681,52415,52889,53090,4672
"Population, total",SP.POP.TOTL,Fiji,FJI,913453,915560,917200,918371,919019,918996,918465,920422,924610,929766,16313
"Population, total",SP.POP.TOTL,Finland,FIN,5438972,5461512,5479531,5495303,5508214,5515525,5521606,5529543,5541017,5556106,117134
"Population, total",SP.POP.TOTL,France,FRA,66002289,66312067,66548272,66724104,66918020,67158348,67388001,67571107,67764304,67971311,1969022
"Population, total",SP.POP.TOTL,French Polynesia,PYF,288032,289873,291787,293541,295450,297606,299717,301920,304032,306279,18247
"Population, total",SP.POP.TOTL,Gabon,GAB,1902226,1966855,2028517,2086206,2140215,2192012,2242785,2292573,2341179,2388992,486766
"Population, total",SP.POP.TOTL,"Gambia, The",GMB,2124869,2189019,2253133,2317206,2381182,2444916,2508883,2573995,2639916,2705992,581123
"Population, total",SP.POP.TOTL,Georgia,GEO,3717668,3719414,3725276,3727505,3728004,3726549,3720161,3722716,3708610,3712502,-5166
"Population, total",SP.POP.TOTL,Germany,DEU,80645605,80982500,81686611,82348669,82657002,82905782,83092962,83160871,83196078,83797985,3152380
"Population, total",SP.POP.TOTL,Ghana,GHA,27525597,28196358,28870939,29554303,30222262,30870641,31522290,32180401,32833031,33475870,5950273
"Population, total",SP.POP.TOTL,Gibraltar,GIB,32411,32452,32520,32565,32602,32648,32685,32709,32669,32649,238
"Population, total",SP.POP.TOTL,Greece,GRC,10965211,10892413,10820883,10775971,10754679,10732882,10721582,10698599,10569207,10426919,-538292
"Population, total",SP.POP.TOTL,Greenland,GRL,56483,56295,56114,56186,56172,56023,56225,56367,56653,56661,178
"Population, total",SP.POP.TOTL,Grenada,GRD,116945,117972,118980,119966,120921,121838,122724,123663,124610,125438,8493
"Population, total",SP.POP.TOTL,Guam,GUM,167054,167543,167978,168346,168606,168678,168624,169231,170534,171774,4720
"Population, total",SP.POP.TOTL,Guatemala,GTM,15043981,15306316,15567419,15827690,16087418,16346950,16604026,16858333,17109746,17357886,2313905
"Population, total",SP.POP.TOTL,Guinea,GIN,11055430,11333365,11625998,11930985,12240789,12554864,12877539,13205153,13531906,13859341,2803911
"Population, total",SP.POP.TOTL,Guinea-Bissau,GNB,1697753,1743309,1788919,1834552,1879826,1924955,1970457,2015828,2060721,2105566,407813
"Population, total",SP.POP.TOTL,Guyana,GUY,747420,751115,755031,759087,763252,785514,798753,797202,804567,808726,61306
"Population, total",SP.POP.TOTL,Haiti,HTI,10261206,10412740,10563757,10713849,10863543,11012421,11160438,11306801,11447569,11584996,1323790
"Population, total",SP.POP.TOTL,Honduras,HND,8960657,9127846,9294505,9460798,9626842,9792850,9958829,10121763,10278345,10432860,1472203
"Population, total",SP.POP.TOTL,"Hong Kong SAR, China",HKG,7178900,7229500,7291300,7336600,7393200,7452600,7507900,7481000,7413100,7346100,167200
"Population, total",SP.POP.TOTL,Hungary,HUN,9893082,9866468,9843028,9814023,9787966,9775564,9771141,9750149,9709891,9643048,-250034
"Population, total",SP.POP.TOTL,Iceland,ISL,323764,327386,330815,335439,343400,352721,360563,366463,372520,382003,58239
"Population, total",SP.POP.TOTL,India,IND,1291132063,1307246509,1322866505,1338636340,1354195680,1369003306,1383112050,1396387127,1407563842,1417173173,126041110
"Population, total",SP.POP.TOTL,Indonesia,IDN,253275918,256229761,259091970,261850182,264498852,267066843,269582878,271857970,273753191,275501339,22225421
"Population, total",SP.POP.TOTL,"Iran, Islamic Rep.",IRN,78458928,79961672,81790841,83306231,84505076,85617562,86564202,87290193,87923432,88550570,10091642
"Population, total",SP.POP.TOTL,Iraq,IRQ,35481800,36746488,37757813,38697943,39621162,40590700,41563520,42556984,43533592,44496122,9014322
"Population, total",SP.POP.TOTL,Ireland,IRL,4623816,4657740,4701957,4755335,4807388,4867316,4934340,4985382,5033164,5127170,503354
"Population, total",SP.POP.TOTL,Isle of Man,IMN,84144,83896,83593,83450,83580,83775,83933,84046,84263,84519,375
"Population, total",SP.POP.TOTL,Israel,ISR,8059500,8215700,8380100,8546000,8713300,8882800,9054000,9215100,9371400,9557500,1498000
"Population, total",SP.POP.TOTL,Italy,ITA,60233948,60789140,60730582,60627498,60536709,60421760,59729081,59438851,59133173,58940425,-1293523
"Population, total",SP.POP.TOTL,Jamaica,JAM,2773129,2784543,2794445,2802695,2808376,2811835,2813773,2820436,2827695,2827377,54248
"Population, total",SP.POP.TOTL,Japan,JPN,127445000,127276000,127141000,127076000,126972000,126811000,126633000,126261000,125681593,125124989,-2320011
"Population, total",SP.POP.TOTL,Jordan,JOR,7694814,8658026,9494246,9964656,10215381,10459865,10698683,10928721,11148278,11285869,3591055
"Population, total",SP.POP.TOTL,Kazakhstan,KAZ,17035551,17288285,17542806,17794055,18037776,18276452,18513673,18755666,19000988,19621972,2586421
"Population, total",SP.POP.TOTL,Kenya,KEN,44792368,45831863,46851488,47894670,48948137,49953304,50951450,51985780,53005614,54027487,9235119
"Population, total",SP.POP.TOTL,Kiribati,KIR,113311,114985,116707,118513,120362,122261,124241,126463,128874,131232,17921
"Population, total",SP.POP.TOTL,"Korea, Dem. People's Rep.",PRK,25001819,25126131,25258015,25389611,25516321,25638149,25755441,25867467,25971909,26069416,1067597
"Population, total",SP.POP.TOTL,"Korea, Rep.",KOR,50428893,50746659,51014947,51217803,51361911,51585058,51764822,51836239,51744876,51628117,1199224
"Population, total",SP.POP.TOTL,Kosovo,XKX,1818117,1812771,1788196,1777557,1791003,1797085,1788878,1790133,1786038,1761985,-56132
"Population, total",SP.POP.TOTL,Kuwait,KWT,3646518,3761584,3908743,4048085,4124904,4317185,4441100,4360444,4250114,4268873,622355
"Population, total",SP.POP.TOTL,Kyrgyz Republic,KGZ,5719600,5835500,5956900,6079500,6198200,6322800,6456200,6579900,6773400,6974900,1255300
"Population, total",SP.POP.TOTL,Lao PDR,LAO,6600742,6691454,6787419,6891363,6997917,7105006,7212053,7319399,7425057,7529475,928733
"Population, total",SP.POP.TOTL,Latvia,LVA,2012647,1993782,1977527,1959537,1942248,1927174,1913822,1900449,1884490,1879383,-133264
"Population, total",SP.POP.TOTL,Lebanon,LBN,5678851,6274342,6398940,6258619,6109252,5950839,5781907,5662923,5592631,5489739,-189112
"Population, total",SP.POP.TOTL,Lesotho,LSO,2073939,2095242,2118521,2143872,2170617,2198017,2225702,2254100,2281454,2305825,231886
"Population, total",SP.POP.TOTL,Liberia,LBR,4427313,4519398,4612329,4706097,4796631,4889391,4985289,5087584,5193416,5302681,875368
"Population, total",SP.POP.TOTL,Libya,LBY,5985221,6097764,6192235,6282196,6378261,6477793,6569088,6653942,6735277,6812341,827120
"Population, total",SP.POP.TOTL,Liechtenstein,LIE,36806,37096,37355,37609,37889,38181,38482,38756,39039,39327,2521
"Population, total",SP.POP.TOTL,Lithuania,LTU,2957689,2932367,2904910,2868231,2828403,2801543,2794137,2794885,2800839,2831639,-126050
"Population, total",SP.POP.TOTL,Luxembourg,LUX,543360,556319,569604,582014,596336,607950,620001,630419,640064,653103,109743
"Population, total",SP.POP.TOTL,"Macao SAR, China",MAC,593374,604167,615239,626688,638609,650991,663653,676283,686607,695168,101794
"Population, total",SP.POP.TOTL,Madagascar,MDG,23588073,24215976,24850912,25501941,26169542,26846541,27533134,28225177,28915653,29611714,6023641
"Population, total",SP.POP.TOTL,Malawi,MWI,16024775,16477966,16938942,17405624,17881167,18367883,18867337,19377061,19889742,20405317,4380542
"Population, total",SP.POP.TOTL,Malaysia,MYS,30134807,30606459,31068833,31526418,31975806,32399271,32804020,33199993,33573874,33938221,3803414
"Population, total",SP.POP.TOTL,Maldives,MDV,400728,416738,435582,454252,472442,489758,504508,514438,521457,523787,123059
"Population, total",SP.POP.TOTL,Mali,MLI,17004033,17551814,18112907,18700106,19311355,19934298,20567424,21224040,21904983,22593590,5589557
"Population, total",SP.POP.TOTL,Malta,MLT,425967,434558,445053,455356,467999,484630,504062,515332,518536,531113,105146
"Population, total",SP.POP.TOTL,Marshall Islands,MHL,51352,50419,49410,48329,47187,45989,44728,43413,42050,41569,-9783
"Population, total",SP.POP.TOTL,Mauritania,MRT,3742959,3843174,3946220,4051890,4160015,4270712,4383849,4498604,4614974,4736139,993180
"Population, total",SP.POP.TOTL,Mauritius,MUS,1258927,1261208,1262879,1263747,1264887,1265577,1265985,1266014,1266334,1262523,3596
"Population, total",SP.POP.TOTL,Mexico,MEX,117290686,118755887,120149897,121519221,122839258,124013861,125085311,125998302,126705138,127504125,10213439
"Population, total",SP.POP.TOTL,"Micronesia, Fed. Sts.",FSM,108609,109024,109462,109925,110430,110929,111379,112106,113131,114164,5555
"Population, total",SP.POP.TOTL,Moldova,MDA,2859558,2857815,2835978,2803186,2755189,2707203,2664224,2635130,2595809,2538894,-320664
"Population, total",SP.POP.TOTL,Monaco,MCO,35425,36110,36760,37071,37044,37029,37034,36922,36686,36469,1044
"Population, total",SP.POP.TOTL,Mongolia,MNG,2845153,2902823,2964749,3029555,3096030,3163991,3232430,3294335,3347782,3398366,553213
"Population, total",SP.POP.TOTL,Montenegro,MNE,621207,621810,622159,622303,622373,622227,622028,621306,619211,617213,-3994
"Population, total",SP.POP.TOTL,Morocco,MAR,33803527,34248603,34680458,35107264,35528115,35927511,36304408,36688772,37076584,37457971,3654444
"Population, total",SP.POP.TOTL,Mozambique,MOZ,25251731,26038704,26843246,27696493,28569441,29423878,30285595,31178239,32077072,32969518,7717787
"Population, total",SP.POP.TOTL,Myanmar,MMR,50648334,51072436,51483949,51892349,52288341,52666014,53040212,53423198,53798084,54179306,3530972
"Population, total",SP.POP.TOTL,Namibia,NAM,2204510,2243001,2282704,2323352,2364534,2405680,2446644,2489098,2530151,2567012,362502
"Population, total",SP.POP.TOTL,Nauru,NRU,10694,10940,11185,11437,11682,11924,12132,12315,12511,12668,1974
"Population, total",SP.POP.TOTL,Nepal,NPL,27381555,27462106,27610325,27861186,28183426,28506712,28832496,29348627,30034989,30547580,3166025
"Population, total",SP.POP.TOTL,Netherlands,NLD,16804432,16865008,16939923,17030314,17131296,17231624,17344874,17441500,17533044,17700982,896550
"Population, total",SP.POP.TOTL,New Caledonia,NCL,263650,268050,269460,270220,270810,271170,271240,271080,270390,269220,5570
"Population, total",SP.POP.TOTL,New Zealand,NZL,4442100,4516500,4609400,4714100,4813600,4900600,4979200,5090200,5111400,5124100,682000
"Population, total",SP.POP.TOTL,Nicaragua,NIC,6119379,6208676,6298598,6389235,6480532,6572233,6663924,6755895,6850540,6948392,829013
"Population, total",SP.POP.TOTL,Niger,NER,18653199,19372014,20128124,20921743,21737922,22577058,23443393,24333639,25252722,26207977,7554778
"Population, total",SP.POP.TOTL,Nigeria,NGA,174726123,179379016,183995785,188666931,193495907,198387623,203304492,208327405,213401323,218541212,43815089
"Population, total",SP.POP.TOTL,North Macedonia,MKD,2064032,2067471,2070226,2072490,2074502,2076217,2076694,2072531,2065092,2057679,-6353
"Population, total",SP.POP.TOTL,Northern Mariana Islands,MNP,52141,51856,51514,51133,50729,50304,49858,49587,49481,49551,-2590
"Population, total",SP.POP.TOTL,Norway,NOR,5079623,5137232,5188607,5234519,5276968,5311916,5347896,5379475,5408320,5457127,377504
"Population, total",SP.POP.TOTL,Oman,OMN,3816680,4009267,4191776,4398070,4541854,4601157,4602768,4543399,4520471,4576298,759618
"Population, total",SP.POP.TOTL,Pakistan,PAK,205337562,208251628,210969298,213524840,216379655,219731479,223293280,227196741,231402117,235824862,30487300
"Population, total",SP.POP.TOTL,Palau,PLW,17805,17796,17794,17816,17837,17864,17916,17972,18024,18055,250
"Population, total",SP.POP.TOTL,Panama,PAN,3821556,3888793,3957099,4026336,4096063,4165255,4232532,4294396,4351267,4408581,587025
"Population, total",SP.POP.TOTL,Papua New Guinea,PNG,8245627,8464153,8682174,8899169,9114796,9329227,9542486,9749640,9949437,10142619,1896992
"Population, total",SP.POP.TOTL,Paraguay,PRY,6005652,6090721,6177950,6266615,6355404,6443328,6530026,6618695,6703799,6780744,775092
"Population, total",SP.POP.TOTL,Peru,PER,30038809,30353951,30711863,31132779,31605486,32203944,32824861,33304756,33715471,34049588,4010779
"Population, total",SP.POP.TOTL,Philippines,PHL,99700107,101325201,103031365,104875266,106738501,108568836,110380804,112190977,113880328,115559009,15858902
"Population, total",SP.POP.TOTL,Poland,POL,38040196,38011735,37986412,37970087,37974826,37974750,37965475,37899070,37747124,36821749,-1218447
"Population, total",SP.POP.TOTL,Portugal,PRT,10457295,10401062,10358076,10325452,10300300,10283822,10286263,10297081,10361831,10409704,-47591
"Population, total",SP.POP.TOTL,Puerto Rico,PRI,3593077,3534874,3473232,3406672,3325286,3193354,3193694,3281557,3262693,3221789,-371288
"Population, total",SP.POP.TOTL,Qatar,QAT,2035501,2214465,2414573,2595166,2711755,2766732,2807235,2760385,2688235,2695122,659621
"Population, total",SP.POP.TOTL,Romania,ROU,19983693,19908979,19815616,19702267,19588715,19473970,19371648,19265250,19122059,19047009,-936684
"Population, total",SP.POP.TOTL,Russian Federation,RUS,143506995,143819667,144096870,144342397,144496739,144477859,144406261,144073139,144130482,144236933,729938
"Population, total",SP.POP.TOTL,Rwanda,RWA,11101350,11368451,11642959,11930899,12230339,12531808,12835028,13146362,13461888,13776698,2675348
"Population, total",SP.POP.TOTL,Samoa,WSM,199939,201757,203571,205544,207630,209701,211905,214929,218764,222382,22443
"Population, total",SP.POP.TOTL,San Marino,SMR,33285,33389,33570,33834,34056,34156,34178,34007,33745,33660,375
"Population, total",SP.POP.TOTL,Sao Tome and Principe,STP,193757,197497,201124,204632,208036,211344,214599,218641,223107,227380,33623
"Population, total",SP.POP.TOTL,Saudi Arabia,SAU,31482498,32125564,32749848,33416270,34193122,35018133,35827362,35997107,35950396,36408820,4926322
"Population, total",SP.POP.TOTL,Senegal,SEN,13595566,13970308,14356181,14751356,15157793,15574909,16000781,16436120,16876720,17316449,3720883
"Population, total",SP.POP.TOTL,Serbia,SRB,7164132,7130576,7095383,7058322,7020858,6982604,6945235,6899126,6834326,6664449,-499683
"Population, total",SP.POP.TOTL,Seychelles,SYC,89949,91359,93419,94677,95843,96762,97625,98462,99258,119878,29929
"Population, total",SP.POP.TOTL,Sierra Leone,SLE,6964859,7140688,7314773,7493913,7677565,7861281,8046828,8233970,8420641,8605718,1640859
"Population, total",SP.POP.TOTL,Singapore,SGP,5399162,5469724,5535002,5607283,5612253,5638676,5703569,5685807,5453566,5637022,237860
"Population, total",SP.POP.TOTL,Sint Maarten (Dutch part),SXM,36607,37685,38825,39969,40574,40895,41608,42310,42668,42848,6241
"Population, total",SP.POP.TOTL,Slovak Republic,SVK,5413393,5418649,5423801,5430798,5439232,5446771,5454147,5458827,5447247,5431752,18359
"Population, total",SP.POP.TOTL,Slovenia,SVN,2059953,2061980,2063531,2065042,2066388,2073894,2088385,2102419,2108079,2111986,52033
"Population, total",SP.POP.TOTL,Solomon Islands,SLB,582365,597375,612660,628102,643634,659249,674993,691191,707851,724273,141908
"Population, total",SP.POP.TOTL,Somalia,SOM,12852485,13309235,13763906,14292847,14864221,15411094,15981300,16537016,17065581,17597511,4745026
"Population, total",SP.POP.TOTL,South Africa,ZAF,53873616,54729551,55876504,56422274,56641209,57339635,58087055,58801927,59392255,59893885,6020269
"Population, total",SP.POP.TOTL,South Sudan,SSD,11106031,11213284,11194299,11066105,10658226,10395329,10447666,10606227,10748272,10913164,-192867
"Population, total",SP.POP.TOTL,Spain,ESP,46620045,46480882,46444832,46484062,46593236,46797754,47134837,47365655,47415794,47778340,1158295
"Population, total",SP.POP.TOTL,Sri Lanka,LKA,21131756,21239457,21336697,21425494,21506813,21670000,21803000,21919000,22156000,22181000,1049244
"Population, total",SP.POP.TOTL,St. Kitts and Nevis,KNA,47767,47789,47790,47788,47785,47761,47712,47642,47606,47657,-110
"Population, total",SP.POP.TOTL,St. Lucia,LCA,173978,174804,175623,176413,177163,177888,178583,179237,179651,179857,5879
"Population, total",SP.POP.TOTL,St. Martin (French part),MAF,35639,35261,35020,34811,34496,33852,33121,32553,31948,31791,-3848
"Population, total",SP.POP.TOTL,St. Vincent and the Grenadines,VCT,107450,106912,106482,105963,105549,105281,104924,104632,104332,103948,-3502
"Population, total",SP.POP.TOTL,Sudan,SDN,35990704,37003245,38171178,39377169,40679828,41999059,43232093,44440486,45657202,46874204,10883500
"Population, total",SP.POP.TOTL,Suriname,SUR,563947,569682,575475,581453,587559,593715,600301,607065,612985,618040,54093
"Population, total",SP.POP.TOTL,Sweden,SWE,9600379,9696110,9799186,9923085,10057698,10175214,10278887,10353442,10415811,10486941,886562
"Population, total",SP.POP.TOTL,Switzerland,CHE,8089346,8188649,8282396,8373338,8451840,8514329,8575280,8638167,8704546,8775760,686414
"Population, total",SP.POP.TOTL,Syrian Arab Republic,SYR,21495821,20072232,19205178,18964252,18983373,19333463,20098251,20772595,21324367,22125249,629428
"Population, total",SP.POP.TOTL,Tajikistan,TJK,8136610,8326348,8524063,8725318,8925525,9128132,9337003,9543207,9750064,9952787,1816177
"Population, total",SP.POP.TOTL,Tanzania,TZA,49253643,50814552,52542823,54401802,56267032,58090443,59872579,61704518,63588334,65497748,16244105
"Population, total",SP.POP.TOTL,Thailand,THA,69578602,69960943,70294397,70607037,70898202,71127802,71307763,71475664,71601103,71697030,2118428
"Population, total",SP.POP.TOTL,Timor-Leste,TLS,1161555,1184830,1205813,1224562,1243235,1261845,1280438,1299995,1320942,1341296,179741
"Population, total",SP.POP.TOTL,Togo,TGO,7106229,7288383,7473229,7661354,7852795,8046679,8243094,8442580,8644829,8848699,1742470
"Population, total",SP.POP.TOTL,Tonga,TON,107089,106626,106122,105707,105415,105150,104951,105254,106017,106858,-231
"Population, total",SP.POP.TOTL,Trinidad and Tobago,TTO,1440729,1450661,1460177,1469330,1478607,1504709,1519955,1518147,1525663,1531044,90315
"Population, total",SP.POP.TOTL,Tunisia,TUN,11300284,11428948,11557779,11685667,11811443,11933041,12049314,12161723,12262946,12356117,1055833
"Population, total",SP.POP.TOTL,Turkiye,TUR,76147624,77181884,78218479,79277962,80312698,81407204,82579440,83384680,84147318,84979913,8832289
"Population, total",SP.POP.TOTL,Turkmenistan,TKM,5560095,5663152,5766431,5868561,5968383,6065066,6158420,6250438,6341855,6430770,870675
"Population, total",SP.POP.TOTL,Turks and Caicos Islands,TCA,33594,34985,36538,38246,39844,41487,43080,44276,45114,45703,12109
"Population, total",SP.POP.TOTL,Tuvalu,TUV,10918,10899,10877,10852,10828,10865,10956,11069,11204,11312,394
"Population, total",SP.POP.TOTL,Uganda,UGA,35273570,36336539,37477356,38748299,40127085,41515395,42949080,44404611,45853778,47249585,11976015
